batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
32,4,2,1,2,586.669
32,4,2,2,1,694.432
32,4,4,1,1,570.793
32,8,2,1,2,646.180
32,8,2,2,1,1022.536
32,8,4,1,1,629.218
32,16,2,1,2,694.918
32,16,2,2,1,1191.159
32,16,4,1,1,812.822
64,4,2,1,2,399.920
64,4,2,2,1,497.498
64,4,4,1,1,414.997
64,8,2,1,2,392.453
64,8,2,2,1,278.292
64,8,4,1,1,187.642
64,16,2,1,2,227.642
64,16,2,2,1,408.376
64,16,4,1,1,216.448
64,32,2,1,2,282.261
64,32,2,2,1,727.059
64,32,4,1,1,464.996
128,4,2,1,2,246.702
128,4,2,2,1,397.067
128,4,4,1,1,333.223
128,8,2,1,2,238.066
128,8,2,2,1,417.668
128,8,4,1,1,345.235
128,16,2,1,2,289.028
128,16,2,2,1,476.224
128,16,4,1,1,373.431
128,32,2,1,2,338.292
128,32,2,2,1,696.189
128,32,4,1,1,447.478
128,64,2,1,2,455.523
128,64,2,2,1,1124.696
128,64,4,1,1,636.676
256,4,2,1,2,OOM ERROR
256,4,2,2,1,302.316
256,4,4,1,1,264.979
256,8,2,1,2,165.658
256,8,2,2,1,303.615
256,8,4,1,1,285.357
256,16,2,1,2,189.303
256,16,2,2,1,365.534
256,16,4,1,1,299.239
256,32,2,1,2,244.930
256,32,2,2,1,462.001
256,32,4,1,1,332.382
256,64,2,1,2,291.888
256,64,2,2,1,654.573
256,64,4,1,1,418.627
256,128,2,1,2,416.219
256,128,2,2,1,1147.785
256,128,4,1,1,610.496
512,4,2,1,2,OOM ERROR
512,4,2,2,1,OOM ERROR
512,4,4,1,1,OOM ERROR
512,8,2,1,2,OOM ERROR
512,8,2,2,1,251.158
512,8,4,1,1,243.922
512,16,2,1,2,142.001
512,16,2,2,1,265.292
512,16,4,1,1,259.401
512,32,2,1,2,155.384
512,32,2,2,1,336.939
512,32,4,1,1,273.644
512,64,2,1,2,226.391
512,64,2,2,1,448.745
512,64,4,1,1,314.482
512,128,2,1,2,281.139
512,128,2,2,1,346.469
512,128,4,1,1,165.500
512,256,2,1,2,201.594
512,256,2,2,1,664.144
512,256,4,1,1,245.718
1024,4,2,1,2,OOM ERROR
1024,4,2,2,1,OOM ERROR
1024,4,4,1,1,OOM ERROR
1024,8,2,1,2,OOM ERROR
1024,8,2,2,1,OOM ERROR
1024,8,4,1,1,OOM ERROR
1024,16,2,1,2,OOM ERROR
1024,16,2,2,1,176.824
1024,16,4,1,1,OOM ERROR
1024,32,2,1,2,87.295
1024,32,2,2,1,182.436
1024,32,4,1,1,103.769
1024,64,2,1,2,95.091
1024,64,2,2,1,194.396
1024,64,4,1,1,111.822
1024,128,2,1,2,112.466
1024,128,2,2,1,233.941
1024,128,4,1,1,128.855
1024,256,2,1,2,143.136
1024,256,2,2,1,360.350
1024,256,4,1,1,167.281
1024,512,2,1,2,209.752
1024,512,2,2,1,681.116
1024,512,4,1,1,251.972
2048,4,2,1,2,OOM ERROR
2048,4,2,2,1,OOM ERROR
2048,4,4,1,1,OOM ERROR
2048,8,2,1,2,OOM ERROR
2048,8,2,2,1,OOM ERROR
2048,8,4,1,1,OOM ERROR
2048,16,2,1,2,OOM ERROR
2048,16,2,2,1,OOM ERROR
2048,16,4,1,1,OOM ERROR
2048,32,2,1,2,OOM ERROR
2048,32,2,2,1,OOM ERROR
2048,32,4,1,1,OOM ERROR
2048,64,2,1,2,82.862
2048,64,2,2,1,184.096
2048,64,4,1,1,OOM ERROR
2048,128,2,1,2,89.853
2048,128,2,2,1,207.842
2048,128,4,1,1,OOM ERROR
2048,256,2,1,2,107.756
2048,256,2,2,1,254.222
2048,256,4,1,1,OOM ERROR
2048,512,2,1,2,139.781
2048,512,2,2,1,383.670
2048,512,4,1,1,OOM ERROR
2048,1024,2,1,2,209.462
2048,1024,2,2,1,739.094
2048,1024,4,1,1,OOM ERROR
4096,4,2,1,2,OOM ERROR
4096,4,2,2,1,OOM ERROR
4096,4,4,1,1,OOM ERROR
4096,8,2,1,2,OOM ERROR
4096,8,2,2,1,OOM ERROR
4096,8,4,1,1,OOM ERROR
4096,16,2,1,2,OOM ERROR
4096,16,2,2,1,OOM ERROR
4096,16,4,1,1,OOM ERROR
4096,32,2,1,2,OOM ERROR
4096,32,2,2,1,OOM ERROR
4096,32,4,1,1,OOM ERROR
4096,64,2,1,2,OOM ERROR
4096,64,2,2,1,OOM ERROR
4096,64,4,1,1,OOM ERROR
4096,128,2,1,2,OOM ERROR
4096,128,2,2,1,179.731
4096,128,4,1,1,OOM ERROR
4096,256,2,1,2,96.869
4096,256,2,2,1,200.252
4096,256,4,1,1,OOM ERROR
4096,512,2,1,2,120.619
4096,512,2,2,1,248.179
4096,512,4,1,1,OOM ERROR
4096,1024,2,1,2,167.337
4096,1024,2,2,1,375.198
4096,1024,4,1,1,OOM ERROR
4096,2048,2,1,2,259.053
4096,2048,2,2,1,736.099
4096,2048,4,1,1,OOM ERROR
