batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
32,4,2,1,2,508.349
32,4,2,2,1,676.698
32,4,4,1,1,797.231
32,8,2,1,2,505.740
32,8,2,2,1,662.065
32,8,4,1,1,813.460
32,16,2,1,2,516.263
32,16,2,2,1,975.223
32,16,4,1,1,846.244
64,4,2,1,2,474.708
64,4,2,2,1,542.558
64,4,4,1,1,706.125
64,8,2,1,2,415.618
64,8,2,2,1,533.422
64,8,4,1,1,561.167
64,16,2,1,2,261.193
64,16,2,2,1,316.292
64,16,4,1,1,318.664
64,32,2,1,2,283.192
64,32,2,2,1,399.788
64,32,4,1,1,344.321
128,4,2,1,2,251.246
128,4,2,2,1,291.988
128,4,4,1,1,336.137
128,8,2,1,2,241.684
128,8,2,2,1,278.287
128,8,4,1,1,301.574
128,16,2,1,2,252.672
128,16,2,2,1,518.310
128,16,4,1,1,689.419
128,32,2,1,2,404.996
128,32,2,2,1,543.320
128,32,4,1,1,753.789
128,64,2,1,2,442.188
128,64,2,2,1,405.261
128,64,4,1,1,787.487
256,4,2,1,2,317.013
256,4,2,2,1,420.025
256,4,4,1,1,542.025
256,8,2,1,2,303.321
256,8,2,2,1,377.304
256,8,4,1,1,563.540
256,16,2,1,2,323.686
256,16,2,2,1,409.474
256,16,4,1,1,627.687
256,32,2,1,2,393.883
256,32,2,2,1,524.059
256,32,4,1,1,704.212
256,64,2,1,2,403.360
256,64,2,2,1,567.825
256,64,4,1,1,779.084
256,128,2,1,2,480.999
256,128,2,2,1,714.829
256,128,4,1,1,813.431
512,4,2,1,2,OOM ERROR
512,4,2,2,1,OOM ERROR
512,4,4,1,1,OOM ERROR
512,8,2,1,2,282.943
512,8,2,2,1,348.247
512,8,4,1,1,OOM ERROR
512,16,2,1,2,288.190
512,16,2,2,1,340.133
512,16,4,1,1,548.962
512,32,2,1,2,296.562
512,32,2,2,1,382.277
512,32,4,1,1,636.522
512,64,2,1,2,382.109
512,64,2,2,1,305.394
512,64,4,1,1,307.910
512,128,2,1,2,264.277
512,128,2,2,1,336.605
512,128,4,1,1,332.535
512,256,2,1,2,298.913
512,256,2,2,1,420.122
512,256,4,1,1,365.234
1024,4,2,1,2,OOM ERROR
1024,4,2,2,1,OOM ERROR
1024,4,4,1,1,OOM ERROR
1024,8,2,1,2,OOM ERROR
1024,8,2,2,1,OOM ERROR
1024,8,4,1,1,OOM ERROR
1024,16,2,1,2,OOM ERROR
1024,16,2,2,1,306.243
1024,16,4,1,1,OOM ERROR
1024,32,2,1,2,245.947
1024,32,2,2,1,310.267
1024,32,4,1,1,319.117
1024,64,2,1,2,248.511
1024,64,2,2,1,313.038
1024,64,4,1,1,319.629
1024,128,2,1,2,256.335
1024,128,2,2,1,331.136
1024,128,4,1,1,326.174
1024,256,2,1,2,278.631
1024,256,2,2,1,361.031
1024,256,4,1,1,355.991
1024,512,2,1,2,321.124
1024,512,2,2,1,453.206
1024,512,4,1,1,398.310
2048,4,2,1,2,OOM ERROR
2048,4,2,2,1,OOM ERROR
2048,4,4,1,1,OOM ERROR
2048,8,2,1,2,OOM ERROR
2048,8,2,2,1,OOM ERROR
2048,8,4,1,1,OOM ERROR
2048,16,2,1,2,OOM ERROR
2048,16,2,2,1,OOM ERROR
2048,16,4,1,1,OOM ERROR
2048,32,2,1,2,OOM ERROR
2048,32,2,2,1,317.782
2048,32,4,1,1,OOM ERROR
2048,64,2,1,2,242.903
2048,64,2,2,1,326.307
2048,64,4,1,1,OOM ERROR
2048,128,2,1,2,246.178
2048,128,2,2,1,335.779
2048,128,4,1,1,OOM ERROR
2048,256,2,1,2,256.674
2048,256,2,2,1,354.329
2048,256,4,1,1,OOM ERROR
2048,512,2,1,2,287.782
2048,512,2,2,1,397.586
2048,512,4,1,1,OOM ERROR
2048,1024,2,1,2,348.040
2048,1024,2,2,1,504.819
2048,1024,4,1,1,OOM ERROR
4096,4,2,1,2,OOM ERROR
4096,4,2,2,1,OOM ERROR
4096,4,4,1,1,OOM ERROR
4096,8,2,1,2,OOM ERROR
4096,8,2,2,1,OOM ERROR
4096,8,4,1,1,OOM ERROR
4096,16,2,1,2,OOM ERROR
4096,16,2,2,1,OOM ERROR
4096,16,4,1,1,OOM ERROR
4096,32,2,1,2,OOM ERROR
4096,32,2,2,1,OOM ERROR
4096,32,4,1,1,OOM ERROR
4096,64,2,1,2,OOM ERROR
4096,64,2,2,1,320.243
4096,64,4,1,1,OOM ERROR
4096,128,2,1,2,251.538
4096,128,2,2,1,326.326
4096,128,4,1,1,OOM ERROR
4096,256,2,1,2,260.156
4096,256,2,2,1,337.260
4096,256,4,1,1,OOM ERROR
4096,512,2,1,2,287.566
4096,512,2,2,1,357.634
4096,512,4,1,1,OOM ERROR
4096,1024,2,1,2,337.983
4096,1024,2,2,1,400.793
4096,1024,4,1,1,OOM ERROR
4096,2048,2,1,2,376.493
4096,2048,2,2,1,517.096
4096,2048,4,1,1,OOM ERROR
