batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
2048,16,2,2,16,OOM ERROR
2048,16,2,1,32,OOM ERROR
2048,32,64,1,1,FAIL(1)
2048,32,32,2,1,EXCEPTION
2048,32,32,1,2,FAIL(1)
2048,32,16,4,1,OOM ERROR
2048,32,16,2,2,OOM ERROR
2048,32,16,1,4,OOM ERROR
2048,32,8,8,1,OOM ERROR
2048,32,8,4,2,OOM ERROR
2048,32,8,2,4,OOM ERROR
2048,32,8,1,8,OOM ERROR
2048,32,4,16,1,EXCEPTION
2048,32,4,8,2,OOM ERROR
2048,32,4,4,4,OOM ERROR
2048,32,4,2,8,FAIL(1)
2048,32,4,1,16,OOM ERROR
2048,32,2,32,1,EXCEPTION
2048,32,2,16,2,EXCEPTION
2048,32,2,8,4,OOM ERROR
2048,32,2,4,8,OOM ERROR
2048,32,2,2,16,OOM ERROR
2048,32,2,1,32,OOM ERROR
2048,64,64,1,1,#MB < PP(1F1B DEADLOCK)
2048,64,32,2,1,EXCEPTION
2048,64,32,1,2,FAIL(1)
2048,64,16,4,1,DIST ERROR
2048,64,16,2,2,OOM ERROR
2048,64,16,1,4,FAIL(1)
2048,64,8,8,1,DIST ERROR
2048,64,8,4,2,DIST ERROR
2048,64,8,2,4,OOM ERROR
2048,64,8,1,8,OOM ERROR
2048,64,4,16,1,EXCEPTION
2048,64,4,8,2,DIST ERROR
2048,64,4,4,4,FAIL(1)
2048,64,4,2,8,OOM ERROR
2048,64,4,1,16,FAIL(1)
2048,64,2,32,1,EXCEPTION
2048,64,2,16,2,FAIL(1)
2048,64,2,8,4,DIST ERROR
2048,64,2,4,8,DIST ERROR
2048,64,2,2,16,OOM ERROR
2048,64,2,1,32,DIST ERROR
1024,4,64,1,1,FAIL(1)
1024,4,32,2,1,EXCEPTION
1024,4,32,1,2,OOM ERROR
1024,4,16,4,1,OOM ERROR
1024,4,16,2,2,OOM ERROR
1024,4,16,1,4,OOM ERROR
1024,4,8,8,1,OOM ERROR
1024,4,8,4,2,OOM ERROR
1024,4,8,2,4,OOM ERROR
1024,4,8,1,8,OOM ERROR
1024,4,4,16,1,EXCEPTION
1024,4,4,8,2,OOM ERROR
1024,4,4,4,4,OOM ERROR
1024,4,4,2,8,OOM ERROR
1024,4,4,1,16,OOM ERROR
1024,4,2,32,1,EXCEPTION
1024,4,2,16,2,FAIL(1)
1024,4,2,8,4,OOM ERROR
1024,4,2,4,8,OOM ERROR
1024,4,2,2,16,OOM ERROR
1024,4,2,1,32,OOM ERROR
1024,8,64,1,1,FAIL(1)
1024,8,32,2,1,EXCEPTION
1024,8,32,1,2,FAIL(1)
1024,8,16,4,1,OOM ERROR
1024,8,16,2,2,OOM ERROR
1024,8,16,1,4,OOM ERROR
1024,8,8,8,1,OOM ERROR
1024,8,8,4,2,OOM ERROR
1024,8,8,2,4,OOM ERROR
1024,8,8,1,8,OOM ERROR
1024,8,4,16,1,FAIL(1)
1024,8,4,8,2,OOM ERROR
1024,8,4,4,4,OOM ERROR
1024,8,4,2,8,OOM ERROR
1024,8,4,1,16,OOM ERROR
1024,8,2,32,1,EXCEPTION
1024,8,2,16,2,FAIL(1)
1024,8,2,8,4,OOM ERROR
1024,8,2,4,8,OOM ERROR
1024,8,2,2,16,OOM ERROR
1024,8,2,1,32,OOM ERROR
1024,16,64,1,1,FAIL(1)
1024,16,32,2,1,EXCEPTION
1024,16,32,1,2,FAIL(1)
1024,16,16,4,1,OOM ERROR
1024,16,16,2,2,OOM ERROR
1024,16,16,1,4,OOM ERROR
1024,16,8,8,1,OOM ERROR
1024,16,8,4,2,OOM ERROR
1024,16,8,2,4,OOM ERROR
1024,16,8,1,8,FAIL(1)
1024,16,4,16,1,EXCEPTION
1024,16,4,8,2,OOM ERROR
1024,16,4,4,4,OOM ERROR
1024,16,4,2,8,OOM ERROR
1024,16,4,1,16,OOM ERROR
1024,16,2,32,1,EXCEPTION
1024,16,2,16,2,EXCEPTION
1024,16,2,8,4,OOM ERROR
1024,16,2,4,8,OOM ERROR
1024,16,2,2,16,OOM ERROR
1024,16,2,1,32,OOM ERROR
1024,32,64,1,1,#MB < PP(1F1B DEADLOCK)
1024,32,32,2,1,EXCEPTION
1024,32,32,1,2,FAIL(1)
1024,32,16,4,1,DIST ERROR
1024,32,16,2,2,OOM ERROR
1024,32,16,1,4,FAIL(1)
